#count 	     p    	    M   	    suscet    	    U4 
#-----------------------------------------------------------------------
  0 	     0.000000 	     1.000000 	     0.000000 	     0.666667 
  1 	     0.005000 	     0.989818 	     0.020925 	     0.666556 
  2 	     0.010000 	     0.979261 	     0.044797 	     0.666426 
  3 	     0.015000 	     0.968411 	     0.071559 	     0.666274 
  4 	     0.020000 	     0.956679 	     0.102322 	     0.666093 
  5 	     0.025000 	     0.944659 	     0.139419 	     0.665867 
  6 	     0.030000 	     0.931234 	     0.188694 	     0.665560 
  7 	     0.035000 	     0.917854 	     0.239726 	     0.665223 
  8 	     0.040000 	     0.902510 	     0.316802 	     0.664713 
  9 	     0.045000 	     0.885738 	     0.431025 	     0.663947 
 10 	     0.050000 	     0.867423 	     0.598372 	     0.662859 
 11 	     0.055000 	     0.844245 	     0.868762 	     0.660991 
 12 	     0.060000 	     0.814448 	     1.580898 	     0.656806 
 13 	     0.065000 	     0.775721 	     3.003132 	     0.648703 
 14 	     0.070000 	     0.727380 	     4.955950 	     0.636167 
 15 	     0.075000 	     0.666851 	     7.518535 	     0.614163 
 16 	     0.080000 	     0.577961 	    10.979059 	     0.568205 
 17 	     0.085000 	     0.509909 	    12.185963 	     0.526660 
 18 	     0.090000 	     0.426781 	    12.401855 	     0.454168 
 19 	     0.095000 	     0.356319 	    11.318691 	     0.374297 
 20 	     0.100000 	     0.311759 	     9.664225 	     0.322149 
 21 	     0.105000 	     0.273875 	     8.245283 	     0.266122 
 22 	     0.110000 	     0.242038 	     7.220321 	     0.197071 
 23 	     0.115000 	     0.223272 	     6.270581 	     0.174316 
 24 	     0.120000 	     0.204017 	     5.318390 	     0.154255 
 25 	     0.125000 	     0.189892 	     4.751418 	     0.130674 
 26 	     0.130000 	     0.175691 	     4.123378 	     0.110204 
 27 	     0.135000 	     0.166659 	     3.802737 	     0.082309 
 28 	     0.140000 	     0.159193 	     3.466437 	     0.081629 
 29 	     0.145000 	     0.149560 	     3.080417 	     0.073319 
 30 	     0.150000 	     0.142797 	     2.804937 	     0.079982 
 31 	     0.155000 	     0.136610 	     2.591168 	     0.068187 
 32 	     0.160000 	     0.132915 	     2.501247 	     0.053077 
 33 	     0.165000 	     0.128321 	     2.269445 	     0.071419 
 34 	     0.170000 	     0.124811 	     2.172769 	     0.057060 
 35 	     0.175000 	     0.120579 	     2.035121 	     0.060271 
 36 	     0.180000 	     0.115877 	     1.889849 	     0.051952 
 37 	     0.185000 	     0.112518 	     1.808690 	     0.031768 
 38 	     0.190000 	     0.109403 	     1.700272 	     0.039679 
 39 	     0.195000 	     0.106009 	     1.606450 	     0.028057 
