#count 	     p    	    M   	    suscet    	    U4 
#-----------------------------------------------------------------------
  0 	     0.000000 	     1.000000 	     0.000000 	     0.666667 
  1 	     0.005000 	     0.989544 	     0.022341 	     0.666459 
  2 	     0.010000 	     0.979124 	     0.043705 	     0.666252 
  3 	     0.015000 	     0.968096 	     0.069190 	     0.665996 
  4 	     0.020000 	     0.957010 	     0.099478 	     0.665685 
  5 	     0.025000 	     0.944710 	     0.139204 	     0.665265 
  6 	     0.030000 	     0.932204 	     0.174534 	     0.664868 
  7 	     0.035000 	     0.917818 	     0.254617 	     0.664019 
  8 	     0.040000 	     0.904660 	     0.285232 	     0.663592 
  9 	     0.045000 	     0.884564 	     0.518156 	     0.661291 
 10 	     0.050000 	     0.864362 	     0.663019 	     0.659550 
 11 	     0.055000 	     0.846936 	     0.696077 	     0.658608 
 12 	     0.060000 	     0.817844 	     1.181087 	     0.653179 
 13 	     0.065000 	     0.779450 	     2.572142 	     0.642974 
 14 	     0.070000 	     0.746276 	     2.904628 	     0.635124 
 15 	     0.075000 	     0.689801 	     4.913754 	     0.612215 
 16 	     0.080000 	     0.631111 	     5.993617 	     0.586879 
 17 	     0.085000 	     0.548700 	     6.995777 	     0.541570 
 18 	     0.090000 	     0.520265 	     6.783781 	     0.527131 
 19 	     0.095000 	     0.448928 	     7.272417 	     0.468247 
 20 	     0.100000 	     0.398924 	     7.098791 	     0.414823 
 21 	     0.105000 	     0.380476 	     6.481667 	     0.408277 
 22 	     0.110000 	     0.325658 	     6.115673 	     0.312754 
 23 	     0.115000 	     0.289629 	     5.377455 	     0.247653 
 24 	     0.120000 	     0.269836 	     4.683173 	     0.247932 
 25 	     0.125000 	     0.269049 	     4.619708 	     0.246020 
 26 	     0.130000 	     0.244235 	     3.937633 	     0.209801 
 27 	     0.135000 	     0.237065 	     3.766638 	     0.199435 
 28 	     0.140000 	     0.217608 	     3.325390 	     0.173706 
 29 	     0.145000 	     0.208213 	     3.199717 	     0.135919 
 30 	     0.150000 	     0.190810 	     2.803845 	     0.097161 
 31 	     0.155000 	     0.194676 	     2.660534 	     0.159182 
 32 	     0.160000 	     0.180851 	     2.517551 	     0.113142 
 33 	     0.165000 	     0.168108 	     2.257756 	     0.068239 
 34 	     0.170000 	     0.171278 	     2.192466 	     0.088869 
 35 	     0.175000 	     0.160438 	     1.951721 	     0.098246 
 36 	     0.180000 	     0.158992 	     1.929862 	     0.090350 
 37 	     0.185000 	     0.151703 	     1.781145 	     0.084071 
 38 	     0.190000 	     0.147781 	     1.715526 	     0.054971 
 39 	     0.195000 	     0.139040 	     1.512616 	     0.040162 
