#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
32748	    0.000000	    0.882887	   11.576510	    0.630178
32749	    0.005000	    0.862622	   13.753423	    0.620888
32750	    0.010000	    0.834256	   17.014548	    0.607769
32751	    0.015000	    0.814249	   19.911060	    0.596708
32752	    0.020000	    0.794659	   21.541839	    0.587619
32753	    0.025000	    0.763247	   24.157325	    0.569299
32754	    0.030000	    0.744603	   26.217305	    0.556774
32755	    0.035000	    0.730519	   26.070479	    0.551181
32756	    0.040000	    0.727253	   28.032387	    0.546089
32757	    0.045000	    0.674407	   31.547050	    0.508771
32758	    0.050000	    0.666613	   30.661275	    0.504741
32759	    0.055000	    0.639274	   32.704963	    0.481199
32760	    0.055500	    0.635187	   33.326278	    0.475076
32761	    0.056000	    0.634093	   32.976950	    0.476578
32762	    0.056500	    0.621666	   34.037230	    0.462038
32763	    0.057000	    0.623697	   32.839912	    0.469276
32764	    0.057500	    0.643674	   32.922644	    0.484602
32765	    0.058000	    0.611973	   34.302526	    0.452291
32766	    0.058500	    0.613438	   33.865989	    0.455640
32767	    0.059000	    0.629635	   33.114808	    0.470631
32768	    0.059500	    0.640002	   33.200184	    0.479769
32769	    0.060000	    0.615425	   33.756140	    0.458849
32770	    0.060500	    0.614517	   33.988907	    0.457826
32771	    0.061000	    0.614307	   33.839905	    0.458242
32772	    0.061500	    0.625472	   33.803247	    0.466872
32773	    0.062000	    0.624478	   34.423471	    0.465447
32774	    0.062500	    0.630581	   34.105350	    0.472505
32775	    0.063000	    0.589606	   34.204030	    0.434505
32776	    0.063500	    0.597550	   34.399014	    0.440976
32777	    0.064000	    0.590041	   34.060954	    0.436532
32778	    0.064500	    0.607966	   34.002767	    0.453089
32779	    0.065000	    0.596503	   33.513520	    0.442507
32780	    0.065500	    0.620087	   33.279705	    0.465486
32781	    0.066000	    0.604038	   34.083935	    0.448607
32782	    0.066500	    0.589639	   34.417933	    0.434770
32783	    0.067000	    0.585958	   34.407954	    0.430280
32784	    0.067500	    0.594534	   33.752439	    0.439604
32785	    0.068000	    0.575174	   34.539169	    0.417291
32786	    0.068500	    0.584011	   33.632149	    0.433676
32787	    0.069000	    0.569635	   34.728081	    0.413255
32788	    0.069500	    0.568906	   34.853474	    0.412133
32789	    0.070000	    0.578758	   34.380078	    0.424612
32790	    0.070500	    0.565419	   34.872815	    0.407825
32791	    0.071000	    0.577119	   34.803882	    0.421094
32792	    0.071500	    0.583077	   34.975123	    0.429401
32793	    0.072000	    0.553244	   34.253049	    0.396306
32794	    0.072500	    0.564951	   34.606463	    0.411750
32795	    0.073000	    0.557238	   34.579527	    0.403416
32796	    0.073500	    0.560134	   34.508835	    0.402686
32797	    0.074000	    0.579560	   34.957607	    0.423086
32798	    0.074500	    0.553851	   35.428713	    0.393923
32799	    0.075000	    0.562238	   34.808849	    0.405049
32800	    0.075500	    0.538777	   34.457844	    0.378478
32801	    0.076000	    0.546322	   34.742724	    0.385827
32802	    0.076500	    0.560051	   34.385170	    0.405723
32803	    0.077000	    0.540972	   34.467376	    0.382768
32804	    0.077500	    0.547237	   35.008326	    0.391097
32805	    0.078000	    0.536102	   34.971125	    0.373513
32806	    0.078500	    0.545648	   34.583839	    0.388358
32807	    0.079000	    0.532728	   34.618045	    0.370969
32808	    0.079500	    0.545395	   34.560069	    0.387750
32809	    0.080000	    0.541927	   35.018652	    0.384507
32810	    0.080500	    0.523499	   34.622531	    0.360820
32811	    0.081000	    0.525924	   34.922038	    0.362460
32812	    0.081500	    0.542298	   35.082724	    0.382916
32813	    0.082000	    0.525856	   34.423794	    0.364467
32814	    0.082500	    0.522278	   34.482318	    0.358344
32815	    0.083000	    0.523735	   34.736465	    0.360664
32816	    0.083500	    0.507295	   34.412389	    0.336724
32817	    0.084000	    0.522730	   34.190157	    0.362731
32818	    0.084500	    0.518168	   34.578305	    0.355339
32819	    0.085000	    0.518068	   34.073628	    0.356901
32820	    0.085500	    0.525052	   34.942691	    0.365744
32821	    0.086000	    0.509066	   34.498586	    0.341572
32822	    0.086500	    0.528006	   34.024516	    0.370919
32823	    0.087000	    0.518108	   34.371115	    0.355918
32824	    0.087500	    0.500427	   34.784710	    0.329199
32825	    0.088000	    0.493024	   34.283396	    0.319056
32826	    0.088500	    0.479502	   33.922793	    0.295399
32827	    0.089000	    0.490876	   34.056598	    0.317228
32828	    0.089500	    0.509092	   34.759265	    0.344276
32829	    0.090000	    0.498638	   33.779511	    0.331545
32830	    0.090500	    0.481470	   33.204122	    0.304989
32831	    0.091000	    0.501390	   34.804038	    0.332394
32832	    0.091500	    0.477469	   33.366689	    0.296235
32833	    0.092000	    0.484406	   33.269175	    0.309707
32834	    0.092500	    0.509686	   33.859395	    0.350265
32835	    0.093000	    0.503867	   34.307595	    0.340881
