#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
  0	    0.000000	    1.000000	    0.000000	    0.666667
  1	    0.005000	    0.990025	    0.019690	    0.666563
  2	    0.010000	    0.980160	    0.039843	    0.666453
  3	    0.015000	    0.969805	    0.062395	    0.666324
  4	    0.020000	    0.959320	    0.078729	    0.666225
  5	    0.025000	    0.949500	    0.103847	    0.666073
  6	    0.030000	    0.939432	    0.128072	    0.665918
  7	    0.035000	    0.929320	    0.142489	    0.665818
  8	    0.040000	    0.917744	    0.170354	    0.665628
  9	    0.045000	    0.907373	    0.202158	    0.665407
 10	    0.050000	    0.895982	    0.228922	    0.665208
 11	    0.055000	    0.884367	    0.278334	    0.664852
 12	    0.060000	    0.872129	    0.318233	    0.664553
 13	    0.065000	    0.858225	    0.385681	    0.664029
 14	    0.070000	    0.845965	    0.428439	    0.663674
 15	    0.075000	    0.832115	    0.529264	    0.662894
 16	    0.080000	    0.814715	    0.698439	    0.661654
 17	    0.085000	    0.788529	    1.191103	    0.658778
 18	    0.090000	    0.773369	    1.333221	    0.657109
 19	    0.095000	    0.745555	    2.242347	    0.651338
 20	    0.100000	    0.717020	    2.907577	    0.645814
 21	    0.100500	    0.707803	    3.520145	    0.642300
 22	    0.101000	    0.706609	    3.334579	    0.642880
 23	    0.101500	    0.696164	    4.137205	    0.637997
 24	    0.102000	    0.701463	    3.647672	    0.640872
 25	    0.102500	    0.690977	    4.139523	    0.637562
 26	    0.103000	    0.685256	    4.570426	    0.635200
 27	    0.103500	    0.681045	    4.494704	    0.634241
 28	    0.104000	    0.670746	    5.429963	    0.628632
 29	    0.104500	    0.673654	    4.905748	    0.630984
 30	    0.105000	    0.665033	    5.451864	    0.627415
 31	    0.105500	    0.662465	    5.620909	    0.626995
 32	    0.106000	    0.667375	    5.233832	    0.629306
 33	    0.106500	    0.658418	    5.394250	    0.625634
 34	    0.107000	    0.648527	    5.917935	    0.621843
 35	    0.107500	    0.648033	    5.843579	    0.622083
 36	    0.108000	    0.646246	    5.756216	    0.622437
 37	    0.108500	    0.638498	    6.255096	    0.618257
 38	    0.109000	    0.617420	    7.409474	    0.607394
 39	    0.109500	    0.618238	    7.375256	    0.607240
 40	    0.110000	    0.619877	    7.175926	    0.608647
 41	    0.110500	    0.607977	    7.535515	    0.603200
 42	    0.111000	    0.603102	    8.065753	    0.600761
 43	    0.111500	    0.607561	    7.571247	    0.604427
 44	    0.112000	    0.588234	    8.212485	    0.595026
 45	    0.112500	    0.584482	    8.723360	    0.592231
 46	    0.113000	    0.588879	    7.939574	    0.595694
 47	    0.113500	    0.571848	    8.924694	    0.585274
 48	    0.114000	    0.565377	    9.046096	    0.582284
 49	    0.114500	    0.566600	    9.099147	    0.582145
 50	    0.115000	    0.551266	    9.421862	    0.573185
 51	    0.115500	    0.553098	    9.211408	    0.574488
 52	    0.116000	    0.547215	    9.460111	    0.572234
 53	    0.116500	    0.528156	   10.608495	    0.556131
 54	    0.117000	    0.527977	   10.474991	    0.558698
 55	    0.117500	    0.519377	   10.093494	    0.554987
 56	    0.118000	    0.522701	    9.991287	    0.556796
 57	    0.118500	    0.512758	    9.922106	    0.552452
 58	    0.119000	    0.505184	   10.641317	    0.543186
 59	    0.119500	    0.502045	   10.286066	    0.544156
 60	    0.120000	    0.478104	   10.976560	    0.522954
 61	    0.125000	    0.428947	   10.903778	    0.481194
 62	    0.130000	    0.370732	   10.727756	    0.418772
 63	    0.135000	    0.327305	    9.435601	    0.369187
 64	    0.140000	    0.293242	    8.491536	    0.322096
 65	    0.145000	    0.260102	    7.367409	    0.266033
 66	    0.150000	    0.234877	    6.395135	    0.238790
 67	    0.155000	    0.216883	    5.617053	    0.197786
 68	    0.160000	    0.205170	    5.205637	    0.176158
 69	    0.165000	    0.185631	    4.367250	    0.146941
 70	    0.170000	    0.175879	    4.028544	    0.136811
 71	    0.175000	    0.165207	    3.704235	    0.107257
 72	    0.180000	    0.159412	    3.416850	    0.106494
 73	    0.185000	    0.147047	    2.963771	    0.073208
 74	    0.190000	    0.144299	    2.856049	    0.093164
 75	    0.195000	    0.138988	    2.625525	    0.083322
 76	    0.200000	    0.132719	    2.431045	    0.071278
 77	    0.205000	    0.127955	    2.338479	    0.055076
 78	    0.210000	    0.122813	    2.162548	    0.028198
 79	    0.215000	    0.118943	    2.010332	    0.075124
 80	    0.220000	    0.115262	    1.877379	    0.054551
 81	    0.225000	    0.112225	    1.779261	    0.050826
 82	    0.230000	    0.111131	    1.739199	    0.071079
 83	    0.235000	    0.108445	    1.608435	    0.065935
 84	    0.240000	    0.105070	    1.537522	    0.055815
 85	    0.245000	    0.102658	    1.462540	    0.035619
