#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
  0	    0.000000	    1.000000	    0.000000	    0.666667
  1	    0.005000	    0.989874	    0.020209	    0.666640
  2	    0.010000	    0.980027	    0.039605	    0.666613
  3	    0.015000	    0.970104	    0.058872	    0.666585
  4	    0.020000	    0.959813	    0.080659	    0.666553
  5	    0.025000	    0.949568	    0.099168	    0.666524
  6	    0.030000	    0.939300	    0.123395	    0.666485
  7	    0.035000	    0.928431	    0.146262	    0.666446
  8	    0.040000	    0.917934	    0.169462	    0.666406
  9	    0.045000	    0.906904	    0.202144	    0.666348
 10	    0.050000	    0.895551	    0.228748	    0.666297
 11	    0.055000	    0.883739	    0.260808	    0.666234
 12	    0.060000	    0.871727	    0.315379	    0.666130
 13	    0.065000	    0.859495	    0.371337	    0.666018
 14	    0.070000	    0.845129	    0.429402	    0.665892
 15	    0.075000	    0.831278	    0.536883	    0.665670
 16	    0.080000	    0.813921	    0.688751	    0.665341
 17	    0.085000	    0.795493	    0.932336	    0.664805
 18	    0.090000	    0.773835	    1.381094	    0.663873
 19	    0.095000	    0.747663	    2.066293	    0.662234
 20	    0.100000	    0.712822	    3.674824	    0.658536
 21	    0.100500	    0.706478	    4.126936	    0.657396
 22	    0.101000	    0.706655	    4.068431	    0.657675
 23	    0.101500	    0.697706	    5.326735	    0.655222
 24	    0.102000	    0.691985	    6.375717	    0.653528
 25	    0.102500	    0.682082	    8.245655	    0.650912
 26	    0.103000	    0.682170	    7.114997	    0.651746
 27	    0.103500	    0.675760	    8.305514	    0.650103
 28	    0.104000	    0.663496	   10.067482	    0.646213
 29	    0.104500	    0.658611	   12.250219	    0.644448
 30	    0.105000	    0.644809	   11.645913	    0.641547
 31	    0.105500	    0.639484	   14.054216	    0.638405
 32	    0.106000	    0.637264	   12.686006	    0.639335
 33	    0.106500	    0.637140	   12.886925	    0.639397
 34	    0.107000	    0.617151	   15.515076	    0.632290
 35	    0.107500	    0.605542	   17.526512	    0.626868
 36	    0.108000	    0.599341	   19.076211	    0.624976
 37	    0.108500	    0.598242	   17.808398	    0.625377
 38	    0.109000	    0.569610	   23.683478	    0.610983
 39	    0.109500	    0.578129	   20.338939	    0.617525
 40	    0.110000	    0.541480	   29.321759	    0.593395
 41	    0.110500	    0.548472	   25.131589	    0.600254
 42	    0.111000	    0.529311	   29.990452	    0.587534
 43	    0.111500	    0.511449	   31.903578	    0.576556
 44	    0.112000	    0.499574	   32.917766	    0.568886
 45	    0.112500	    0.474301	   36.536965	    0.548917
 46	    0.113000	    0.483487	   33.932842	    0.560205
 47	    0.113500	    0.462737	   35.300257	    0.545358
 48	    0.114000	    0.446414	   35.413142	    0.531137
 49	    0.114500	    0.457220	   34.143360	    0.544743
 50	    0.115000	    0.429901	   36.517589	    0.519239
 51	    0.115500	    0.432968	   36.688405	    0.520660
 52	    0.116000	    0.400486	   37.571098	    0.492694
 53	    0.116500	    0.390044	   37.939964	    0.479658
 54	    0.117000	    0.374670	   38.082112	    0.457663
 55	    0.117500	    0.367651	   36.514262	    0.456227
 56	    0.118000	    0.348448	   36.556465	    0.430480
 57	    0.118500	    0.344617	   35.907466	    0.426081
 58	    0.119000	    0.340638	   34.350339	    0.433761
 59	    0.119500	    0.329861	   34.595916	    0.408376
 60	    0.120000	    0.321863	   32.103809	    0.411476
 61	    0.125000	    0.243496	   25.226050	    0.288946
 62	    0.130000	    0.199902	   19.095533	    0.209453
 63	    0.135000	    0.166000	   14.323456	    0.136088
 64	    0.140000	    0.145435	   11.310217	    0.119740
 65	    0.145000	    0.128431	    8.873647	    0.098316
 66	    0.150000	    0.116817	    7.312069	    0.084085
 67	    0.155000	    0.106695	    6.547725	    0.019316
 68	    0.160000	    0.099693	    5.556096	    0.053101
 69	    0.165000	    0.092994	    4.784237	    0.054066
 70	    0.170000	    0.087072	    4.296629	    0.037457
 71	    0.175000	    0.085341	    4.023393	    0.048221
 72	    0.180000	    0.078962	    3.572623	    0.023023
 73	    0.185000	    0.075507	    3.279256	    0.027879
 74	    0.190000	    0.070688	    2.860915	    0.041849
 75	    0.195000	    0.067317	    2.600404	    0.048426
 76	    0.200000	    0.065152	    2.499665	   -0.024441
 77	    0.205000	    0.064264	    2.330348	    0.002375
 78	    0.210000	    0.062043	    2.265102	    0.010471
 79	    0.215000	    0.060861	    2.127975	    0.016727
 80	    0.220000	    0.058602	    2.024806	    0.020648
 81	    0.225000	    0.056406	    1.791522	    0.050086
 82	    0.230000	    0.054687	    1.744985	    0.022582
 83	    0.235000	    0.053506	    1.634652	    0.007789
 84	    0.240000	    0.051883	    1.555517	    0.012282
 85	    0.245000	    0.050861	    1.522871	   -0.001115
