#count 	     p    	    M   	    suscet    	    U4 
#-----------------------------------------------------------------------
  0 	     0.000000 	     1.000000 	     0.000000 	     0.666667 
  1 	     0.005000 	     0.989850 	     0.021012 	     0.666236 
  2 	     0.010000 	     0.979244 	     0.044999 	     0.665730 
  3 	     0.015000 	     0.968590 	     0.070274 	     0.665178 
  4 	     0.020000 	     0.956549 	     0.102451 	     0.664463 
  5 	     0.025000 	     0.944168 	     0.139231 	     0.663631 
  6 	     0.030000 	     0.931662 	     0.192010 	     0.662568 
  7 	     0.035000 	     0.917126 	     0.250113 	     0.661149 
  8 	     0.040000 	     0.901717 	     0.312894 	     0.659612 
  9 	     0.045000 	     0.885002 	     0.435467 	     0.657086 
 10 	     0.050000 	     0.866680 	     0.583206 	     0.654146 
 11 	     0.055000 	     0.845249 	     0.784967 	     0.649890 
 12 	     0.060000 	     0.821176 	     1.061758 	     0.644110 
 13 	     0.065000 	     0.787632 	     1.573245 	     0.634001 
 14 	     0.070000 	     0.754888 	     1.918085 	     0.623670 
 15 	     0.075000 	     0.720751 	     2.323407 	     0.610952 
 16 	     0.080000 	     0.685000 	     2.745331 	     0.596081 
 17 	     0.085000 	     0.643111 	     3.142904 	     0.575393 
 18 	     0.090000 	     0.596486 	     3.585228 	     0.547494 
 19 	     0.095000 	     0.562801 	     3.700340 	     0.526635 
 20 	     0.100000 	     0.528293 	     3.704125 	     0.504870 
 21 	     0.105000 	     0.482533 	     3.784652 	     0.465179 
 22 	     0.110000 	     0.460027 	     3.704340 	     0.446483 
 23 	     0.115000 	     0.432634 	     3.578959 	     0.421577 
 24 	     0.120000 	     0.399906 	     3.459164 	     0.382033 
 25 	     0.125000 	     0.378677 	     3.259249 	     0.360122 
 26 	     0.130000 	     0.358267 	     3.078194 	     0.339386 
 27 	     0.135000 	     0.340175 	     2.965817 	     0.310083 
 28 	     0.140000 	     0.319969 	     2.754900 	     0.284245 
 29 	     0.145000 	     0.305022 	     2.573157 	     0.264268 
 30 	     0.150000 	     0.293126 	     2.435423 	     0.247582 
 31 	     0.155000 	     0.281655 	     2.315336 	     0.232003 
 32 	     0.160000 	     0.270345 	     2.194139 	     0.210559 
 33 	     0.165000 	     0.261621 	     2.069319 	     0.202057 
 34 	     0.170000 	     0.251072 	     1.936398 	     0.190253 
 35 	     0.175000 	     0.242353 	     1.863347 	     0.166686 
 36 	     0.180000 	     0.233121 	     1.754324 	     0.156138 
 37 	     0.185000 	     0.228543 	     1.670849 	     0.157118 
 38 	     0.190000 	     0.221796 	     1.606757 	     0.141898 
 39 	     0.195000 	     0.218116 	     1.551522 	     0.143011 
